date,state,epidemiological_week_2019,epidemiological_week_2020,deaths_indeterminate_2019,deaths_respiratory_failure_2019,deaths_others_2019,deaths_pneumonia_2019,deaths_septicemia_2019,deaths_sars_2019,deaths_covid19,deaths_indeterminate_2020,deaths_respiratory_failure_2020,deaths_others_2020,deaths_pneumonia_2020,deaths_septicemia_2020,deaths_sars_2020,deaths_total_2019,deaths_total_2020,new_deaths_indeterminate_2019,new_deaths_respiratory_failure_2019,new_deaths_others_2019,new_deaths_pneumonia_2019,new_deaths_septicemia_2019,new_deaths_sars_2019,new_deaths_covid19,new_deaths_indeterminate_2020,new_deaths_respiratory_failure_2020,new_deaths_others_2020,new_deaths_pneumonia_2020,new_deaths_septicemia_2020,new_deaths_sars_2020,new_deaths_total_2019,new_deaths_total_2020
31/12/2020,AC,1,53,37,219,1998,890,419,5,789,39,231,2081,631,404,29,3568,4204,,,5,7,1,,,,,,,,,13,0
31/12/2020,AL,1,53,95,1556,10094,2622,2164,13,2340,100,1362,10643,1917,2146,315,16544,18823,,6,22,1,4,,,,,,,,,33,0
31/12/2020,AM,1,53,137,672,8331,2136,1847,35,2829,140,929,8323,2311,1837,764,13158,17133,2,2,28,10,4,,,,,,,,,46,0
31/12/2020,AP,1,53,13,257,1309,464,412,7,762,6,240,1096,282,277,20,2462,2683,,1,5,1,,,,,,,,,,7,0
31/12/2020,BA,1,53,107,7754,43325,7298,9278,100,8421,140,6860,46055,6209,8765,468,67862,76918,,22,106,17,23,,,,,,,,,168,0
31/12/2020,CE,1,53,128,2954,23902,7253,4867,39,9710,184,3166,26001,6053,4748,686,39143,50548,,6,68,18,15,,,,,,,,,107,0
31/12/2020,DF,1,53,136,990,7142,3267,2477,41,3939,140,966,7481,2774,2134,67,14053,17501,1,2,17,8,6,,,,,,,,,34,0
31/12/2020,ES,1,53,9,1378,12886,5196,3799,34,5229,4,1376,12887,3828,3411,341,23302,27076,,5,34,12,10,,,,,,,,,61,0
31/12/2020,GO,1,53,146,3354,15900,6845,3982,45,7115,172,3324,15798,5684,3994,206,30272,36293,1,13,52,16,8,,,,,,,,,90,0
31/12/2020,MA,1,53,140,1856,12556,2540,1828,7,2727,198,2231,13893,2267,1766,859,18927,23941,,7,26,4,3,,,,,,,,,40,0
31/12/2020,MG,1,53,1855,10824,67788,21192,18290,222,13373,1862,9750,71325,18259,17965,869,120171,133403,6,32,169,46,49,1,,,,,,,,303,0
31/12/2020,MS,1,53,78,1368,8076,3584,1889,43,2250,57,1366,8380,3107,1848,85,15038,17093,,5,14,7,5,,,,,,,,,31,0
